date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:58	98/98	---M-Z	200	added ('OK')	text/plain	etag:%2214dba1a0534cfb960064a03654eced01%22	https://umarr.framer.website/robots.txt		(from )
15:00:59	438403/438403	---M-Z	200	added ('OK')	text/html	etag:%2221339bf2b5e1b16068fec3369e1a81a0%22	https://umarr.framer.website/	V:/My%20data/FInal%20boss/umarr.framer.website/index.html	(from )
15:01:00	225/225	---MC-	200	added ('OK')	image/png	etag:%22d31c0314c3229d24a2668c4f2498a2b8%22	https://framerusercontent.com/images/xKUKIZcrgx39B5mHlN4VPJ8VTk.png	V:/My%20data/FInal%20boss/framerusercontent.com/images/xKUKIZcrgx39B5mHlN4VPJ8VTk.png	(from https://umarr.framer.website/)
15:01:01	396539/396539	---M-Z	200	added ('OK')	text/html	etag:%2208791aed54472357ec6b54485f41bf86%22	https://umarr.framer.website/about	V:/My%20data/FInal%20boss/umarr.framer.website/about.html	(from https://umarr.framer.website/)
15:01:01	149115/149115	---MC-	200	added ('OK')	image/png	etag:%22dbfaa08db511fc475dfe850c1de0a181%22	https://framerusercontent.com/images/0kRYx0NpOuTv0ToWN2d2VoQC5A.png?width=2880&height=1450	V:/My%20data/FInal%20boss/framerusercontent.com/images/0kRYx0NpOuTv0ToWN2d2VoQC5A5931.png	(from https://umarr.framer.website/)
15:01:01	1374446/1374446	---MC-	200	added ('OK')	image/jpeg	etag:%229ab5ccf8ff98c74d6ad4e9e0f91797a4%22	https://framerusercontent.com/images/uAhQ7czADqdbyf6uHmmNMT42Y.jpg?width=3712&height=5568	V:/My%20data/FInal%20boss/framerusercontent.com/images/uAhQ7czADqdbyf6uHmmNMT42Y7731.jpg	(from https://umarr.framer.website/)
15:01:01	185056/185056	---MC-	200	added ('OK')	image/png	etag:%22170c36ed551e807b293c49c4b9886bef%22	https://framerusercontent.com/images/pF7KaopiZepI92NWRNN0ibfKjg.png?width=1280&height=824	V:/My%20data/FInal%20boss/framerusercontent.com/images/pF7KaopiZepI92NWRNN0ibfKjg7eb8.png	(from https://umarr.framer.website/)
15:01:01	179582/179582	---MC-	200	added ('OK')	image/png	etag:%220b3e971f8a08dde3503141863001c3c7%22	https://framerusercontent.com/images/0bjgNvKomBNTzX8s4DIKFp3sWo.png?width=1280&height=824	V:/My%20data/FInal%20boss/framerusercontent.com/images/0bjgNvKomBNTzX8s4DIKFp3sWo7eb8.png	(from https://umarr.framer.website/)
15:01:02	53916/53916	---MC-	200	added ('OK')	image/png	etag:%222f9b771ea875127489c16f7e75c00f4a%22	https://framerusercontent.com/images/UXmDA0G1ZWEDAZiqPt9GG6QGELU.png?width=1280&height=824	V:/My%20data/FInal%20boss/framerusercontent.com/images/UXmDA0G1ZWEDAZiqPt9GG6QGELU7eb8.png	(from https://umarr.framer.website/)
15:01:02	18094/18094	---MC-	200	added ('OK')	image/png	etag:%229fbcbde14f2bf4f624b37c19558a673b%22	https://framerusercontent.com/images/XaTiHv67T4Xxugya9G39PAAJaI.png?width=1124&height=824	V:/My%20data/FInal%20boss/framerusercontent.com/images/XaTiHv67T4Xxugya9G39PAAJaI673a.png	(from https://umarr.framer.website/)
